CODE_COM;APL_EHPA;APL_RA;APL_SAPA
11007;29251.02;0.0;3663.53
11008;110431.43;0.0;677.6
11012;77936.99;0.0;545.21
11035;66738.96;0.0;0.0
11038;16951.73;1373.29;0.0
11041;74443.94;0.0;527.68
11064;53305.27;185.45;397.15
11071;20322.53;0.0;0.0
11088;106783.82;185.45;1004.23
11093;6957.97;0.0;0.0
11102;96986.1;185.45;923.26
11103;107259.74;0.0;621.91
11138;79128.27;645.35;522.73
11153;93520.52;830.81;1156.5
11242;65817.78;185.45;719.9
11246;56471.44;0.0;492.29
11279;111940.31;185.45;948.54
11300;71367.24;1111.11;1186.68
11301;84441.92;185.45;1124.52
11306;18794.81;0.0;0.0
11310;51639.5;0.0;0.0
11311;52038.97;0.0;397.15
11350;38310.71;0.0;0.0
11352;37306.77;1572.38;0.0
11387;16845.54;0.0;0.0
11435;39169.12;0.0;3663.53
12069;77335.27;0.0;1550.24
12079;134728.9;0.0;1247.5
12112;166315.49;0.0;341.55
12119;189187.74;0.0;1148.98
12147;49599.24;0.0;1202.43
12149;48360.95;0.0;1114.06
12153;75759.34;1093.17;1570.53
12165;98215.23;0.0;2223.66
12173;77726.6;224.19;1337.45
12177;160569.84;412.0;706.35
12179;77044.59;0.0;1304.41
12190;68493.13;139.98;982.37
12222;71280.55;1093.17;1474.42
12230;101720.26;67.72;3526.27
12236;72378.88;0.0;676.14
14530;111852.7;1240.95;2173.13
14539;83289.65;1249.86;1668.93
14541;70478.18;1150.84;1307.91
14572;91067.8;810.26;1572.08
15021;93991.23;0.0;4618.83
15047;100257.66;0.0;532.11
15096;110838.8;0.0;3841.55
15098;24340.04;0.0;1890.57
15105;34821.92;0.0;1890.57
15125;90856.7;0.0;900.39
15133;127302.08;454.75;2013.13
15141;139000.81;0.0;559.35
15169;144271.35;542.29;1194.98
15188;179853.47;0.0;2470.25
15216;176450.57;0.0;53.57
15224;126467.72;0.0;631.65
15227;158858.33;0.0;723.94
15231;147345.88;0.0;1283.29
15234;71044.82;0.0;4191.49
15235;157768.13;0.0;1256.05
15238;56326.69;0.0;492.06
15242;127924.64;454.75;2492.45
15246;121126.48;542.29;791.22
15253;94308.7;0.0;0.0
15257;36031.2;0.0;321.87
15265;177338.03;1462.51;2806.33
15267;149128.8;0.0;4063.93
16004;86975.45;321.99;1357.81
16009;82706.7;395.12;2387.29
